timestamp, name, utilization.gpu [%], memory.used [MiB]
2025/12/20 16:47:35.709, NVIDIA GeForce GTX 1650, 0 %, 1501 MiB
2025/12/20 16:47:36.734, NVIDIA GeForce GTX 1650, 1 %, 1514 MiB
2025/12/20 16:47:37.746, NVIDIA GeForce GTX 1650, 3 %, 1567 MiB
2025/12/20 16:47:38.761, NVIDIA GeForce GTX 1650, 1 %, 1561 MiB
2025/12/20 16:47:39.772, NVIDIA GeForce GTX 1650, 1 %, 1561 MiB
2025/12/20 16:47:40.782, NVIDIA GeForce GTX 1650, 7 %, 3218 MiB
2025/12/20 16:47:41.785, NVIDIA GeForce GTX 1650, 5 %, 3210 MiB
2025/12/20 16:47:42.788, NVIDIA GeForce GTX 1650, 5 %, 3190 MiB
2025/12/20 16:47:43.793, NVIDIA GeForce GTX 1650, 2 %, 3195 MiB
2025/12/20 16:47:44.805, NVIDIA GeForce GTX 1650, 13 %, 3195 MiB
2025/12/20 16:47:45.815, NVIDIA GeForce GTX 1650, 86 %, 3197 MiB
2025/12/20 16:47:46.817, NVIDIA GeForce GTX 1650, 31 %, 3200 MiB
2025/12/20 16:47:47.824, NVIDIA GeForce GTX 1650, 0 %, 3200 MiB
