rubric_title,course,module,criterion,level4_name,level4_points,level4_description,level3_name,level3_points,level3_description,level2_name,level2_points,level2_description,level1_name,level1_points,level1_description
Course Rubric — DRAFT,01-brake-systems-(ase-a5),,1) Conceptual Understanding,Level,,Description,Exemplary (4),4,"Demonstrates thorough, accurate, and insightful understanding of key course concepts.",Proficient (3),3,Demonstrates solid understanding with minor omissions.,Developing (2),2,Shows basic understanding but with notable gaps.
Course Rubric — DRAFT,01-brake-systems-(ase-a5),,2) Procedural Skill & Accuracy,Level,,Description,Exemplary (4),4,Performs procedures accurately and efficiently with professional technique.,Proficient (3),3,Performs procedures correctly with minor errors.,Developing (2),2,Performs procedures with errors; requires guidance.
Course Rubric — DRAFT,01-brake-systems-(ase-a5),,3) Application & Problem Solving,Level,,Description,Exemplary (4),4,"Applies concepts to solve complex, real-world problems effectively.",Proficient (3),3,Applies concepts to routine problems with success.,Developing (2),2,Attempts application but with limited success.
Course Rubric — DRAFT,01-brake-systems-(ase-a5),,4) Safety & Professionalism,Level,,Description,Exemplary (4),4,"Consistently models safe, professional, and ethical behavior.",Proficient (3),3,Generally follows safety and professional norms.,Developing (2),2,Occasionally neglects safety or professionalism.
Course Rubric — DRAFT,01-brake-systems-ase-a5,,1) Conceptual Understanding,Level,,Description,Exemplary (4),4,"Demonstrates thorough, accurate, and insightful understanding of key course concepts.",Proficient (3),3,Demonstrates solid understanding with minor omissions.,Developing (2),2,Shows basic understanding but with notable gaps.
Course Rubric — DRAFT,01-brake-systems-ase-a5,,2) Procedural Skill & Accuracy,Level,,Description,Exemplary (4),4,Performs procedures accurately and efficiently with professional technique.,Proficient (3),3,Performs procedures correctly with minor errors.,Developing (2),2,Performs procedures with errors; requires guidance.
Course Rubric — DRAFT,01-brake-systems-ase-a5,,3) Application & Problem Solving,Level,,Description,Exemplary (4),4,"Applies concepts to solve complex, real-world problems effectively.",Proficient (3),3,Applies concepts to routine problems with success.,Developing (2),2,Attempts application but with limited success.
Course Rubric — DRAFT,01-brake-systems-ase-a5,,4) Safety & Professionalism,Level,,Description,Exemplary (4),4,"Consistently models safe, professional, and ethical behavior.",Proficient (3),3,Generally follows safety and professional norms.,Developing (2),2,Occasionally neglects safety or professionalism.
01-brake-systems-ase-a5 - week-01-introduction,01-brake-systems-ase-a5,week-01-introduction,(list objectives for Brake Systems (ASE A5)),Level,,Description,Exceeds expectations (4),4,Advanced performance demonstrating exceptional (list objectives for brake systems (ase a5)).,Meets expectations (3),3,Competent performance meeting expected (list objectives for brake systems (ase a5)).,Approaching (2),2,Partial performance showing basic (list objectives for brake systems (ase a5)).
01-brake-systems-ase-a5 - week-02-fundamentals,01-brake-systems-ase-a5,week-02-fundamentals,(list objectives for Brake Systems (ASE A5)),Level,,Description,Exceeds expectations (4),4,Advanced performance demonstrating exceptional (list objectives for brake systems (ase a5)).,Meets expectations (3),3,Competent performance meeting expected (list objectives for brake systems (ase a5)).,Approaching (2),2,Partial performance showing basic (list objectives for brake systems (ase a5)).
01-brake-systems-ase-a5 - week-03-components,01-brake-systems-ase-a5,week-03-components,(list objectives for Brake Systems (ASE A5)),Level,,Description,Exceeds expectations (4),4,Advanced performance demonstrating exceptional (list objectives for brake systems (ase a5)).,Meets expectations (3),3,Competent performance meeting expected (list objectives for brake systems (ase a5)).,Approaching (2),2,Partial performance showing basic (list objectives for brake systems (ase a5)).
01-brake-systems-ase-a5 - week-04-diagnostics,01-brake-systems-ase-a5,week-04-diagnostics,(list objectives for Brake Systems (ASE A5)),Level,,Description,Exceeds expectations (4),4,Advanced performance demonstrating exceptional (list objectives for brake systems (ase a5)).,Meets expectations (3),3,Competent performance meeting expected (list objectives for brake systems (ase a5)).,Approaching (2),2,Partial performance showing basic (list objectives for brake systems (ase a5)).
01-brake-systems-ase-a5 - week-05-service-procedures,01-brake-systems-ase-a5,week-05-service-procedures,(list objectives for Brake Systems (ASE A5)),Level,,Description,Exceeds expectations (4),4,Advanced performance demonstrating exceptional (list objectives for brake systems (ase a5)).,Meets expectations (3),3,Competent performance meeting expected (list objectives for brake systems (ase a5)).,Approaching (2),2,Partial performance showing basic (list objectives for brake systems (ase a5)).
01-brake-systems-ase-a5 - week-06-review,01-brake-systems-ase-a5,week-06-review,(list objectives for Brake Systems (ASE A5)),Level,,Description,Exceeds expectations (4),4,Advanced performance demonstrating exceptional (list objectives for brake systems (ase a5)).,Meets expectations (3),3,Competent performance meeting expected (list objectives for brake systems (ase a5)).,Approaching (2),2,Partial performance showing basic (list objectives for brake systems (ase a5)).
Course Rubric — DRAFT,02-engine-performance-i,,1) Conceptual Understanding,Level,,Description,Exemplary (4),4,"Demonstrates thorough, accurate, and insightful understanding of key course concepts.",Proficient (3),3,Demonstrates solid understanding with minor omissions.,Developing (2),2,Shows basic understanding but with notable gaps.
Course Rubric — DRAFT,02-engine-performance-i,,2) Procedural Skill & Accuracy,Level,,Description,Exemplary (4),4,Performs procedures accurately and efficiently with professional technique.,Proficient (3),3,Performs procedures correctly with minor errors.,Developing (2),2,Performs procedures with errors; requires guidance.
Course Rubric — DRAFT,02-engine-performance-i,,3) Application & Problem Solving,Level,,Description,Exemplary (4),4,"Applies concepts to solve complex, real-world problems effectively.",Proficient (3),3,Applies concepts to routine problems with success.,Developing (2),2,Attempts application but with limited success.
Course Rubric — DRAFT,02-engine-performance-i,,4) Safety & Professionalism,Level,,Description,Exemplary (4),4,"Consistently models safe, professional, and ethical behavior.",Proficient (3),3,Generally follows safety and professional norms.,Developing (2),2,Occasionally neglects safety or professionalism.
02-engine-performance-i - week-01-introduction,02-engine-performance-i,week-01-introduction,(list objectives for Engine Performance I),Level,,Description,Exceeds expectations (4),4,Advanced performance demonstrating exceptional (list objectives for engine performance i).,Meets expectations (3),3,Competent performance meeting expected (list objectives for engine performance i).,Approaching (2),2,Partial performance showing basic (list objectives for engine performance i).
02-engine-performance-i - week-02-fundamentals,02-engine-performance-i,week-02-fundamentals,(list objectives for Engine Performance I),Level,,Description,Exceeds expectations (4),4,Advanced performance demonstrating exceptional (list objectives for engine performance i).,Meets expectations (3),3,Competent performance meeting expected (list objectives for engine performance i).,Approaching (2),2,Partial performance showing basic (list objectives for engine performance i).
02-engine-performance-i - week-03-components,02-engine-performance-i,week-03-components,(list objectives for Engine Performance I),Level,,Description,Exceeds expectations (4),4,Advanced performance demonstrating exceptional (list objectives for engine performance i).,Meets expectations (3),3,Competent performance meeting expected (list objectives for engine performance i).,Approaching (2),2,Partial performance showing basic (list objectives for engine performance i).
02-engine-performance-i - week-04-diagnostics,02-engine-performance-i,week-04-diagnostics,(list objectives for Engine Performance I),Level,,Description,Exceeds expectations (4),4,Advanced performance demonstrating exceptional (list objectives for engine performance i).,Meets expectations (3),3,Competent performance meeting expected (list objectives for engine performance i).,Approaching (2),2,Partial performance showing basic (list objectives for engine performance i).
02-engine-performance-i - week-05-service-procedures,02-engine-performance-i,week-05-service-procedures,(list objectives for Engine Performance I),Level,,Description,Exceeds expectations (4),4,Advanced performance demonstrating exceptional (list objectives for engine performance i).,Meets expectations (3),3,Competent performance meeting expected (list objectives for engine performance i).,Approaching (2),2,Partial performance showing basic (list objectives for engine performance i).
