course_slug,rating,notes
01-brake-systems-(ase-a5),complete,has completeness entry
01-brake-systems-ase-a5,complete,has completeness entry
02-engine-performance-i,complete,has completeness entry
03-electrical-systems-fundamentals,complete,has completeness entry
04-suspension-and-steering,complete,has completeness entry
04-suspension-steering,complete,has completeness entry
05-automatic-transmissions,complete,has completeness entry
06-diesel-engine-operation,complete,has completeness entry
07-diesel-fuel-systems,complete,has completeness entry
08-air-intake-and-exhaust-systems,complete,has completeness entry
08-air-intake-exhaust-systems,complete,has completeness entry
09-electric-vehicle-fundamentals,complete,has completeness entry
10-hybrid-vehicle-systems,complete,has completeness entry
11-ev-battery-technology,complete,has completeness entry
12-virtual-lab-safety-and-tools,complete,has completeness entry
12-virtual-lab-safety-tools,complete,has completeness entry
13-virtual-diagnostic-procedures,complete,has completeness entry
14-advanced-engine-diagnostics,complete,has completeness entry
15-automotive-network-systems,complete,has completeness entry
16-adas-and-driver-assistance,complete,has completeness entry
16-adas-driver-assistance,complete,has completeness entry
17-diesel-emissions-control,complete,has completeness entry
18-heavy-duty-truck-systems,complete,has completeness entry
19-high-voltage-systems-service,complete,has completeness entry
20-ev-charging-infrastructure,complete,has completeness entry
21-advanced-battery-management,complete,has completeness entry
22-fleet-management-and-operations,complete,has completeness entry
22-fleet-management-operations,complete,has completeness entry
23-capstone-project,complete,has completeness entry
24-diesel-technology-capstone,complete,has completeness entry
25-electric-vehicle-capstone,complete,has completeness entry
