course,module,rubric_path,criteria_count,used_default_criteria,criteria_sample
01-brake-systems-ase-a5,week-01-introduction,content\courses\01-brake-systems-ase-a5\modules\week-01-introduction\rubric.md,1,no,(list objectives for Brake Systems (ASE A5))
01-brake-systems-ase-a5,week-02-fundamentals,content\courses\01-brake-systems-ase-a5\modules\week-02-fundamentals\rubric.md,1,no,(list objectives for Brake Systems (ASE A5))
01-brake-systems-ase-a5,week-03-components,content\courses\01-brake-systems-ase-a5\modules\week-03-components\rubric.md,1,no,(list objectives for Brake Systems (ASE A5))
01-brake-systems-ase-a5,week-04-diagnostics,content\courses\01-brake-systems-ase-a5\modules\week-04-diagnostics\rubric.md,1,no,(list objectives for Brake Systems (ASE A5))
01-brake-systems-ase-a5,week-05-service-procedures,content\courses\01-brake-systems-ase-a5\modules\week-05-service-procedures\rubric.md,1,no,(list objectives for Brake Systems (ASE A5))
01-brake-systems-ase-a5,week-06-review,content\courses\01-brake-systems-ase-a5\modules\week-06-review\rubric.md,1,no,(list objectives for Brake Systems (ASE A5))
02-engine-performance-i,week-01-introduction,content\courses\02-engine-performance-i\modules\week-01-introduction\rubric.md,1,no,(list objectives for Engine Performance I)
02-engine-performance-i,week-02-fundamentals,content\courses\02-engine-performance-i\modules\week-02-fundamentals\rubric.md,1,no,(list objectives for Engine Performance I)
02-engine-performance-i,week-03-components,content\courses\02-engine-performance-i\modules\week-03-components\rubric.md,1,no,(list objectives for Engine Performance I)
02-engine-performance-i,week-04-diagnostics,content\courses\02-engine-performance-i\modules\week-04-diagnostics\rubric.md,1,no,(list objectives for Engine Performance I)
02-engine-performance-i,week-05-service-procedures,content\courses\02-engine-performance-i\modules\week-05-service-procedures\rubric.md,1,no,(list objectives for Engine Performance I)
02-engine-performance-i,week-06-review,content\courses\02-engine-performance-i\modules\week-06-review\rubric.md,1,no,(list objectives for Engine Performance I)
03-electrical-systems-fundamentals,week-01-introduction,content\courses\03-electrical-systems-fundamentals\modules\week-01-introduction\rubric.md,1,no,(list objectives for Electrical Systems Fundamentals)
03-electrical-systems-fundamentals,week-02-fundamentals,content\courses\03-electrical-systems-fundamentals\modules\week-02-fundamentals\rubric.md,1,no,(list objectives for Electrical Systems Fundamentals)
03-electrical-systems-fundamentals,week-03-components,content\courses\03-electrical-systems-fundamentals\modules\week-03-components\rubric.md,1,no,(list objectives for Electrical Systems Fundamentals)
03-electrical-systems-fundamentals,week-04-diagnostics,content\courses\03-electrical-systems-fundamentals\modules\week-04-diagnostics\rubric.md,1,no,(list objectives for Electrical Systems Fundamentals)
03-electrical-systems-fundamentals,week-05-service-procedures,content\courses\03-electrical-systems-fundamentals\modules\week-05-service-procedures\rubric.md,1,no,(list objectives for Electrical Systems Fundamentals)
